회사명,회사코드
파인넥스,A123260
라닉스,A317120
네오크레마,A311390
럭슬,A033600
한프,A066110
이수페타시스,A007660
경창산업,A024910
화진,A134780
KJ프리텍,A083470
이노와이즈,A086250
삼보모터스,A053700
캔서롭,A180400
한류AI센터,A222810
인프라웨어,A041020
데일리블록체인,A139050
에넥스,A011090
인산가,A277410
금비,A008870
LS,A006260
시노펙스,A025320
넥스트BT,A065170
SG세계물산,A004060
유니켐,A011330
예스코홀딩스,A015360
삼양통상,A002170
효성중공업,A298040
갤럭시아에스엠,A011420
홈센타홀딩스,A060560
멕아이씨에스,A058110
유바이오로직스,A206650
옴니텔,A057680
신일산업,A002700
시너지이노베이션,A048870
대호피앤씨,A021040
SH에너지화학,A002360
효성티앤씨,A298020
세화아이엠씨,A145210
쎄노텍,A222420
슈펙스비앤피,A058530
한국제지,A002300
루미마이크로,A082800
코데즈컴바인,A047770
키네마스터,A139670
위지트,A036090
CMG제약,A058820
LG하우시스,A108670
세하,A027970
한창,A005110
KR모터스,A000040
ITX엠투엠,A099520
녹십자,A006280
신대양제지,A016590
모바일리더,A100030
이베스트투자증권,A078020
아이쓰리시스템,A214430
SK바이오랜드,A052260
한미사이언스,A008930
무림P&P,A009580
에코프로비엠,A247540
예림당,A036000
네오오토,A212560
해태제과식품,A101530
유진기업,A023410
금호산업,A002990
대웅,A003090
SJM홀딩스,A025530
한국유니온제약,A080720
싸이맥스,A160980
동방아그로,A007590
케어랩스,A263700
대림B&Co,A005750
크라운제과,A264900
삼아알미늄,A006110
일양약품,A007570
동원수산,A030720
에스티아이,A039440
파멥신,A208340
원익홀딩스,A030530
오로라,A039830
DSR제강,A069730
삼영이엔씨,A065570
아이원스,A114810
케이피에프,A024880
가온미디어,A078890
이상네트웍스,A080010
SK네트웍스,A001740
유라테크,A048430
모베이스,A101330
선익시스템,A171090
태경화학,A006890
힘스,A238490
조비,A001550
한국종합기술,A023350
유비벨록스,A089850
현대사료,A016790
삼현철강,A017480
무림SP,A001810
두산인프라코어,A042670
블루콤,A033560
세경하이테크,A148150
KMH,A122450
DSR,A155660
빛샘전자,A072950
한성기업,A003680
톱텍,A108230
신흥,A004080
일지테크,A019540
인바디,A041830
GKL,A114090
미래테크놀로지,A213090
대원제약,A003220
오텍,A067170
평화홀딩스,A010770
디딤,A217620
대유에이텍,A002880
엘컴텍,A037950
에스모,A073070
KPX케미칼,A025000
풍산홀딩스,A005810
GS,A078930
LG이노텍,A011070
에이디칩스,A054630
손오공,A066910
한국가스공사,A036460
하나금융지주,A086790
디지탈옵틱,A106520
엔에스엔,A031860
롯데하이마트,A071840
대유플러스,A000300
이스타코,A015020
신도리코,A029530
효성첨단소재,A298050
삼보산업,A009620
레몬,A294140
유테크,A178780
본느,A226340
쿠쿠홀딩스,A192400
종근당홀딩스,A001630
KB금융,A105560
두산,A000150
동원금속,A018500
퍼스텍,A010820
동양물산,A002900
SGA,A049470
국도화학,A007690
초록뱀,A047820
영원무역홀딩스,A009970
사조산업,A007160
전진바이오팜,A110020
클래시스,A214150
흥아해운,A003280
라이브플렉스,A050120
EMW,A079190
신세계푸드,A031440
조선선재,A120030
서울식품,A004410
일신바이오,A068330
에이엔피,A015260
국보,A001140
비티원,A101140
JW신약,A067290
삼화네트웍스,A046390
인트로메딕,A150840
NHN,A181710
키움증권,A039490
한라홀딩스,A060980
엘오티베큠,A083310
한미글로벌,A053690
삼익THK,A004380
원익IPS,A240810
대동공업,A000490
제이스텍,A090470
영화테크,A265560
웹젠,A069080
진에어,A272450
피앤씨테크,A237750
HDC현대EP,A089470
에이텍티앤,A224110
TBH글로벌,A084870
노바렉스,A194700
신일제약,A012790
동일제강,A002690
현대통신,A039010
일진다이아,A081000
GST,A083450
비덴트,A121800
대성미생물,A036480
테크윙,A089030
삼성출판사,A068290
한솔홀딩스,A004150
디바이스이엔지,A187870
삼일제약,A000520
청담러닝,A096240
슈프리마아이디,A317770
디아이티,A110990
와이엠티,A251370
KH바텍,A060720
용평리조트,A070960
남해화학,A025860
덕산하이메탈,A077360
동일기연,A032960
레고켐바이오,A141080
에이텍,A045660
부스타,A008470
올릭스,A226950
MH에탄올,A023150
경농,A002100
진도,A088790
유수홀딩스,A000700
우리넷,A115440
화신,A010690
한솔테크닉스,A004710
디엔에프,A092070
파인디지털,A038950
상아프론테크,A089980
팜스코,A036580
클리오,A237880
아비코전자,A036010
비엠티,A086670
제일테크노스,A038010
KB오토시스,A024120
서원인텍,A093920
다스코,A058730
에코프로,A086520
액토즈소프트,A052790
나노신소재,A121600
메디포스트,A078160
일진전기,A103590
LS네트웍스,A000680
케이맥,A043290
넥스턴,A089140
한화시스템,A272210
아프리카TV,A067160
원익QnC,A074600
기신정기,A092440
일야,A058450
파미셀,A005690
강남제비스코,A000860
자연과환경,A043910
중앙오션,A054180
LG전자,A066570
우리기술투자,A041190
넷게임즈,A225570
네이처셀,A007390
케이사인,A192250
인콘,A083640
삼성에스디에스,A018260
3S,A060310
해마로푸드서비스,A220630
미래SCI,A028040
한국쉘석유,A002960
한진,A002320
신세계인터내셔날,A031430
우리들휴브레인,A118000
팬스타엔터프라이즈,A054300
모비스,A250060
뉴보텍,A060260
큐캐피탈,A016600
코아스,A071950
신한지주,A055550
뉴인텍,A012340
필로시스헬스케어,A057880
유니슨,A018000
피앤텔,A054340
전방,A000950
유니드,A014830
상상인인더스트리,A101000
에이치엔티,A176440
삼정펄프,A009770
DB손해보험,A005830
보해양조,A000890
이매진아시아,A036260
아남전자,A008700
SK디스커버리,A006120
미래산업,A025560
디알텍,A214680
UCI,A038340
씨아이에스,A222080
프로스테믹스,A203690
포티스,A141020
코오롱인더,A120110
세방전지,A004490
신영증권,A001720
한국금융지주,A071050
금호석유,A011780
STX엔진,A077970
쎄트렉아이,A099320
경동제약,A011040
디스플레이텍,A066670
네오팜,A092730
엑시콘,A092870
금호에이치티,A214330
에스에너지,A095910
풀무원,A017810
인크로스,A216050
혜인,A003010
아이씨디,A040910
하이비젼시스템,A126700
상신브레이크,A041650
KC그린홀딩스,A009440
디티앤씨,A187220
태경산업,A015890
유진투자증권,A001200
동원개발,A013120
신진에스엠,A138070
광동제약,A009290
휴니드,A005870
유아이엘,A049520
사람인에이치알,A143240
제일연마,A001560
성보화학,A003080
제일기획,A030000
엠플러스,A259630
WISCOM,A024070
KG이니시스,A035600
엔지켐생명과학,A183490
오스템임플란트,A048260
캐스텍코리아,A071850
빅솔론,A093190
고려개발,A004200
보라티알,A250000
프리엠스,A053160
셀트리온제약,A068760
민앤지,A214180
엠씨넥스,A097520
신원종합개발,A017000
오파스넷,A173130
대원강업,A000430
동구바이오제약,A006620
케이엠,A083550
플랜티넷,A075130
에스텍파마,A041910
디오,A039840
다원시스,A068240
상상인,A038540
웅진씽크빅,A095720
KTB투자증권,A030210
동우팜투테이블,A088910
피에스텍,A002230
효성오앤비,A097870
SBS콘텐츠허브,A046140
중앙에너비스,A000440
우리산업홀딩스,A072470
엘앤씨바이오,A290650
SG&G,A040610
나우IB,A293580
AJ네트웍스,A095570
케이피에스,A256940
이지케어텍,A099750
유니온,A000910
삼호개발,A010960
한농화성,A011500
텔레칩스,A054450
KG모빌리언스,A046440
동양피스톤,A092780
한일철강,A002220
성우전자,A081580
영보화학,A014440
금호전기,A001210
휴비츠,A065510
모두투어,A080160
푸드나무,A290720
화일약품,A061250
성창기업지주,A000180
HSD엔진,A082740
율호,A072770
아리온,A058220
지노믹트리,A228760
DB,A012030
동아에스티,A170900
고려제강,A002240
디젠스,A113810
진매트릭스,A109820
큐브앤컴퍼니,A043090
포스링크,A056730
시큐브,A131090
기아차,A000270
롯데지주,A004990
바른전자,A064520
동양철관,A008970
신성이엔지,A011930
한국단자,A025540
일신석재,A007110
쎌마테라퓨틱스,A015540
마이크로텍,A227950
메디프론,A065650
제이웨이,A058420
컴투스,A078340
대신정보통신,A020180
마니커,A027740
브레인콘텐츠,A066980
이그잭스,A060230
삼화왕관,A004450
SK하이닉스,A000660
하이스틸,A071090
아모레퍼시픽,A090430
원풍물산,A008290
오리엔트바이오,A002630
드림시큐리티,A203650
상보,A027580
AK홀딩스,A006840
큐브엔터,A182360
삼성바이오로직스,A207940
현대건설기계,A267270
가온전선,A000500
삼성전기,A009150
라온시큐어,A042510
영진약품,A003520
카카오,A035720
아미노로직스,A074430
롯데푸드,A002270
키이스트,A054780
대창단조,A015230
네패스,A033640
피제이전자,A006140
케이엔더블유,A105330
대림통상,A006570
동일철강,A023790
RFHIC,A218410
AP시스템,A265520
서린바이오,A038070
동국산업,A005160
콜마비앤에이치,A200130
유니퀘스트,A077500
한국카본,A017960
JW생명과학,A234080
이랜텍,A054210
다나와,A119860
동양파일,A228340
오이솔루션,A138080
아나패스,A123860
한국정밀기계,A101680
도이치모터스,A067990
한국프랜지,A010100
이지바이오,A035810
오리콤,A010470
인터지스,A129260
에이테크솔루션,A071670
펌텍코리아,A251970
카프로,A006380
대봉엘에스,A078140
에치에프알,A230240
노바텍,A285490
대유,A290380
씨앤지하이테크,A264660
삼천당제약,A000250
삼천리자전거,A024950
신한,A005450
파커스,A065690
한라IMS,A092460
우진플라임,A049800
SIMPAC,A009160
그린플러스,A186230
티엘아이,A062860
위닉스,A044340
유니테스트,A086390
메지온,A140410
아미코젠,A092040
동부제철,A016380
타이거일렉,A219130
한스바이오메드,A042520
한국가구,A004590
세틀뱅크,A234340
헬릭스미스,A084990
DMS,A068790
대동기어,A008830
우림기계,A101170
안트로젠,A065660
에이치시티,A072990
대륙제관,A004780
한세예스24홀딩스,A016450
알에프세미,A096610
화성밸브,A039610
코콤,A015710
남화산업,A111710
삼화전기,A009470
알리코제약,A260660
와이엔텍,A067900
대원미디어,A048910
현대공업,A170030
포시에스,A189690
알에프텍,A061040
코리아센터,A290510
액트로,A290740
케이피티유,A054410
세종메디칼,A258830
우진,A105840
현대에이치씨엔,A126560
유성티엔에스,A024800
하츠,A066130
새로닉스,A042600
S&K폴리텍,A091340
옵티시스,A109080
KCTC,A009070
디케이앤디,A263020
티피씨글로벌,A130740
이니텍,A053350
바이오솔루션,A086820
아진엑스텍,A059120
경보제약,A214390
차바이오텍,A085660
부광약품,A003000
하나머티리얼즈,A166090
YW,A051390
동성코퍼레이션,A102260
큐에스아이,A066310
동아화성,A041930
NPC,A004250
원풍,A008370
하이트론,A019490
한솔씨앤피,A221610
미래나노텍,A095500
비츠로테크,A042370
대동스틸,A048470
이건홀딩스,A039020
인포뱅크,A039290
자이글,A234920
더블유에프엠,A035290
에프엔에스테크,A083500
더존비즈온,A012510
아스트,A067390
에이치엘비생명과학,A067630
에스피지,A058610
이원컴포텍,A088290
재영솔루텍,A049630
아세아제지,A002310
한미약품,A128940
메드팩토,A235980
큐로컴,A040350
신라섬유,A001000
케이에스피,A073010
KT&G,A033780
삼성카드,A029780
지어소프트,A051160
퓨전,A195440
휴마시스,A205470
센트럴바이오,A051980
수출포장,A002200
삼광글라스,A005090
현대미포조선,A010620
세기상사,A002420
KD,A044180
부산가스,A015350
미원홀딩스,A107590
현대건설,A000720
엔시트론,A101400
큐로,A015590
제이엘케이인스펙션,A322510
세종텔레콤,A036630
W홀딩컴퍼니,A052300
만호제강,A001080
S-Oil,A010950
빙그레,A005180
KCC,A002380
와이오엠,A066430
한국타이어앤테크놀로지,A161390
경동도시가스,A267290
디티알오토모티브,A007340
판타지오,A032800
형지I&C,A011080
진흥기업,A002780
하이소닉,A106080
켐온,A217600
평화산업,A090080
코센,A009730
휴스틸,A005010
롯데정밀화학,A004000
SK케미칼,A285130
제넨바이오,A072520
서울전자통신,A027040
엔케이물산,A009810
에이티세미콘,A089530
삼성증권,A016360
샘표,A007540
코오롱,A002020
모다,A149940
MP한강,A219550
SBI인베스트먼트,A019550
영우디에스피,A143540
세아베스틸,A001430
넷마블,A251270
파나진,A046210
한빛소프트,A047080
에이아이비트,A039230
KT,A030200
KC코트렐,A119650
티로보틱스,A117730
비에이치,A090460
우신시스템,A017370
인포마크,A175140
토니모리,A214420
참좋은여행,A094850
서울제약,A018680
일진파워,A094820
명성티엔에스,A257370
엔텔스,A069410
하나마이크론,A067310
코나아이,A052400
서연탑메탈,A019770
디아이씨,A092200
동진쎄미켐,A005290
덕산네오룩스,A213420
에스앤더블류,A103230
아이텍,A119830
금강철강,A053260
로고스바이오,A238120
윈하이텍,A192390
삼영엠텍,A054540
보령제약,A003850
KTH,A036030
디자인,A227100
삼표시멘트,A038500
테고사이언스,A191420
아이즈비전,A031310
디에이치피코리아,A131030
아이티엠반도체,A084850
메디아나,A041920
고려제약,A014570
켐트로닉스,A089010
쎄미시스코,A136510
특수건설,A026150
엘앤에프,A066970
아진산업,A013310
녹십자셀,A031390
한국내화,A010040
백산,A035150
화천기계,A010660
크린앤사이언스,A045520
삼강엠앤티,A100090
아세아텍,A050860
케이프,A064820
부국철강,A026940
오션브릿지,A241790
파트론,A091700
유안타증권,A003470
비츠로셀,A082920
TJ미디어,A032540
한익스프레스,A014130
진바이오텍,A086060
제닉,A123330
코스모화학,A005420
나라엠앤디,A051490
제룡산업,A147830
계양전기,A012200
일진홀딩스,A015860
조광ILI,A044060
대우건설,A047040
STX중공업,A071970
윌링스,A313760
로보티즈,A108490
파크시스템스,A140860
AP위성,A211270
뉴트리,A270870
라이온켐텍,A171120
이즈미디어,A181340
삼성엔지니어링,A028050
한국컴퓨터,A054040
대주전자재료,A078600
메탈라이프,A327260
진성티이씨,A036890
문배철강,A008420
진양홀딩스,A100250
아우딘퓨쳐스,A227610
한화투자증권,A003530
파워로직스,A047310
에스제이그룹,A306040
신성델타테크,A065350
CJ CGV,A079160
에이디테크놀로지,A200710
유니테크노,A241690
디지아이,A043360
나무가,A190510
씨젠,A096530
모아텍,A033200
성창오토텍,A080470
파버나인,A177830
베뉴지,A019010
한일네트웍스,A046110
솔루에타,A154040
인터파크홀딩스,A035080
디에스케이,A109740
코오롱플라스틱,A138490
녹원씨엔아이,A065560
우성사료,A006980
대모,A317850
브이원텍,A251630
경인양행,A012610
삼원강재,A023000
동양에스텍,A060380
솔본,A035610
유앤아이,A056090
신화콘텍,A187270
누리텔레콤,A040160
NHN한국사이버결제,A060250
서진오토모티브,A122690
SBS미디어홀딩스,A101060
쌍용차,A003620
이노메트리,A302430
영풍제지,A006740
흥국,A010240
루트로닉,A085370
두올산업,A078590
피에스엠씨,A024850
캐리소프트,A317530
S&T모티브,A064960
부산산업,A011390
BYC,A001460
세아홀딩스,A058650
지코,A010580
신세계건설,A034300
국일제지,A078130
현대중공업지주,A267250
SCI평가정보,A036120
엠벤처투자,A019590
삼원테크,A073640
소리바다,A053110
대창솔루션,A096350
오리엔트정공,A065500
나무기술,A242040
토박스코리아,A215480
대한제당,A001790
현대해상,A001450
서남,A294630
액션스퀘어,A205500
나노브릭,A286750
퓨쳐스트림네트웍스,A214270
선광,A003100
한화에어로스페이스,A012450
아이씨케이,A068940
디오스텍,A196450
대한제분,A001130
주연테크,A044380
GS건설,A006360
매일유업,A267980
대성엘텍,A025440
한송네오텍,A226440
계룡건설,A013580
천일고속,A000650
LS산전,A010120
미래아이앤지,A007120
한화,A000880
대웅제약,A069620
메디톡스,A086900
미원에스씨,A268280
KISCO홀딩스,A001940
슈피겐코리아,A192440
에쎈테크,A043340
롯데쇼핑,A023530
코오롱생명과학,A102940
솔브레인,A036830
인천도시가스,A034590
미원화학,A134380
제낙스,A065620
휘닉스소재,A050090
SKC,A011790
세원정공,A021820
S&T홀딩스,A036530
한섬,A020000
LF,A093050
덕우전자,A263600
파세코,A037070
남광토건,A001260
현우산업,A092300
인선이엔티,A060150
샘코,A263540
지란지교시큐리티,A208350
에스디생명공학,A217480
파라텍,A033540
우노앤컴퍼니,A114630
배럴,A267790
씨큐브,A101240
팬오션,A028670
KCI,A036670
성우테크론,A045300
금호타이어,A073240
코스온,A069110
우리들제약,A004720
파이오링크,A170790
화승인더,A006060
TCC스틸,A002710
알테오젠,A196170
한국정보공학,A039740
한독크린텍,A256150
두올,A016740
에코바이오,A038870
코프라,A126600
대창스틸,A140520
티웨이항공,A091810
메리츠종금증권,A008560
한국자산신탁,A123890
코아시아,A045970
제이준코스메틱,A025620
서암기계공업,A100660
한국정보통신,A025770
오스템,A031510
한국경제TV,A039340
백광소재,A014580
에프에스티,A036810
시공테크,A020710
KT서브마린,A060370
인터파크,A108790
푸드웰,A005670
바이넥스,A053030
셀리버리,A268600
흥구석유,A024060
세진티에스,A067770
레이,A228670
선도전기,A007610
유니크,A011320
가비아,A079940
GS글로벌,A001250
누리플랜,A069140
엔브이에이치코리아,A067570
화승엔터프라이즈,A241590
대보마그네틱,A290670
태림포장,A011280
KTis,A058860
머큐리,A100590
아가방컴퍼니,A013990
깨끗한나라,A004540
극동유화,A014530
삼일기업공사,A002290
엠에스씨,A009780
아시아나항공,A020560
동양피엔에프,A104460
지엔씨에너지,A119850
삼륭물산,A014970
피앤이솔루션,A131390
광진실업,A026910
한국전자금융,A063570
세명전기,A017510
상신이디피,A091580
EG,A037370
디에이피,A066900
녹십자랩셀,A144510
어보브반도체,A102120
에프엔씨엔터,A173940
동국S&C,A100130
서울옥션,A063170
에코캡,A128540
YTN,A040300
제이씨현시스템,A033320
에스와이,A109610
그린케미칼,A083420
다산네트웍스,A039560
에이치엘비,A028300
크리스탈,A083790
코맥스,A036690
코스맥스엔비티,A222040
이글루시큐리티,A067920
방림,A003610
HRS,A036640
피엔티,A137400
롯데관광개발,A032350
아이스크림에듀,A289010
알에스오토메이션,A140670
오공,A045060
모트렉스,A118990
아즈텍WB,A032080
세중,A039310
제이에스티나,A026040
피씨디렉트,A051380
모다이노칩,A080420
에코플라스틱,A038110
월덱스,A101160
옵트론텍,A082210
디아이,A003160
에스넷,A038680
서울바이오시스,A092190
비디아이,A148140
팜스빌,A318010
와이엠씨,A155650
애니젠,A196300
양지사,A030960
마이크로프랜드,A147760
NHN벅스,A104200
주성엔지니어링,A036930
아이컴포넌트,A059100
태원물산,A001420
메디앙스,A014100
에너토크,A019990
NEW,A160550
로체시스템즈,A071280
대화제약,A067080
아시아경제,A127710
한컴위드,A054920
대양제지,A006580
리더스코스메틱,A016100
롯데손해보험,A000400
대현,A016090
하이즈항공,A221840
KG ETS,A151860
인지디스플레,A037330
코리아에프티,A123410
에스에스알,A275630
LS전선아시아,A229640
큐리언트,A115180
알티캐스트,A085810
한양디지텍,A078350
덕산테코피아,A317330
세진중공업,A075580
바이오스마트,A038460
라이트론,A069540
동국알앤에스,A075970
푸른기술,A094940
코디엠,A224060
에스아이리소스,A065420
테라셈,A182690
원림,A005820
종근당,A185750
미원상사,A002840
LG디스플레이,A034220
우리기술,A032820
광주신세계,A037710
메이슨캐피탈,A021880
리더스 기술투자,A019570
에이스침대,A003800
동양고속,A084670
대한화섬,A003830
롯데케미칼,A011170
이화산업,A000760
한신공영,A004960
사조대림,A003960
두산밥캣,A241560
한화솔루션,A009830
휴림로봇,A090710
세아특수강,A019440
금화피에스시,A036190
한화갤러리아타임월드,A027390
퍼시스,A016800
SPC삼립,A005610
이노션,A214320
현대일렉트릭,A267260
씨엔플러스,A115530
대우조선해양,A042660
일정실업,A008500
게임빌,A063080
조광피혁,A004700
SK머티리얼즈,A036490
오리온,A271560
세방,A004360
삼성전자,A005930
아모레G,A002790
인스코비,A006490
신영와코루,A005800
네오위즈홀딩스,A042420
영원무역,A111770
경인전자,A009140
동국제약,A086450
아이에스동서,A010780
부국증권,A001270
한국아트라스비엑스,A023890
한류타임즈,A039670
아세아,A002030
오뚜기,A007310
스킨앤스킨,A159910
현대엘리베이,A017800
한국테크놀로지그룹,A000240
한솔케미칼,A014680
대한방직,A001070
에스원,A012750
HDC,A012630
한국테크놀로지,A053590
솔고바이오,A043100
이화전기,A024810
현대모비스,A012330
삼천리,A004690
기업은행,A024110
신라교역,A004970
휴온스글로벌,A084110
대한해운,A005880
펄어비스,A263750
코스맥스비티아이,A044820
골프존,A215000
농심,A004370
디에스티,A033430
이아이디,A093230
S&TC,A100840
유화증권,A003460
제일파마홀딩스,A002620
SBS,A034120
삼양식품,A003230
신화실업,A001770
이오테크닉스,A039030
