회사명,ROE
솔브레인,268.57
BGF,99.79
STX,75.07
APS홀딩스,74.85
제일파마홀딩스,74.54
휴온스글로벌,60.17
지누스,54.18
오리온홀딩스,53.01
일동홀딩스,41.61
효성,39.27
삼양옵틱스,37.75
클래시스,35.34
이녹스,34.49
디알젬,30.88
STX중공업,30.76
쿠쿠홀딩스,30.7
코웨이,29.64
상상인,28.99
한국쉘석유,27.9
HDC,27.45
SK머티리얼즈,27.44
이크레더블,27.01
코세스,26.83
고려신용정보,26.8
메디톡스,26.61
펄어비스,26.58
BGF리테일,25.94
에이피티씨,25.51
골프존,25.02
코미코,24.59
하나머티리얼즈,24.42
케이씨,24.41
휴온스,24.32
노바텍,23.8
콜마비앤에이치,23.18
DB하이텍,23.04
티씨케이,22.59
삼화콘덴서,22.58
삼호,22.13
제노레이,21.57
오션브릿지,21.01
에코마케팅,20.98
해마로푸드서비스,20.8
아프리카TV,20.78
한솔로지스틱스,20.66
유니테스트,20.64
LG생활건강,20.43
부방,20.41
현대통신,20.4
코웰패션,20.2
크라운해태홀딩스,20.06
네오팜,19.99
원익IPS,19.81
바텍,19.81
대유에이피,19.8
F&F,19.69
엠케이전자,19.63
에스티아이,19.62
더존비즈온,19.59
한신공영,19.45
한양이엔지,19.32
SK하이닉스,19.3
에스에이엠티,19.02
원익홀딩스,18.98
진로발효,18.9
대한약품,18.86
한국자산신탁,18.76
한전산업,18.75
제이스텍,18.71
피에스케이홀딩스,18.71
에이치엘사이언스,18.7
이녹스첨단소재,18.64
이엘피,18.61
한솔케미칼,18.53
리노공업,18.4
뉴트리,18.38
크린앤사이언스,18.3
한국토지신탁,18.26
NICE평가정보,18.24
신세계건설,18.22
나이스정보통신,18.06
한국기업평가,18.06
한국아트라스비엑스,18.05
서한,18.05
유비쿼스홀딩스,18.05
컴투스,17.99
슈피겐코리아,17.97
뷰웍스,17.97
포스코엠텍,17.96
SK디스커버리,17.95
쎌바이오텍,17.92
한독크린텍,17.88
나이스디앤비,17.87
한샘,17.74
다나와,17.47
아이에스동서,17.47
디케이티,17.36
후성,17.35
테스,17.23
유비쿼스,17.19
