회사명,ROE
KG ETS,15.45
인지디스플레,4.01
코리아에프티,5.07
에스에스알,6.21
LS전선아시아,9.54
큐리언트,-134.97
알티캐스트,-9.51
한양디지텍,-6.09
덕산테코피아,6.92
세진중공업,1.65
바이오스마트,7.94
동국알앤에스,2.4
푸른기술,1.76
코디엠,-16.5
테라셈,-67.25
원림,3.69
종근당,10.67
미원상사,12.79
LG디스플레이,-1.4
우리기술,-13.89
광주신세계,7.91
메이슨캐피탈,-9.54
리더스기술투자,-17.85
에이스침대,7.96
동양고속,6.67
대한화섬,3.87
롯데케미칼,13.07
이화산업,-1.77
한신공영,19.45
사조대림,10.93
두산밥캣,7.08
한화솔루션,6.54
휴림로봇,-19.0
세아특수강,5.15
금화피에스시,14.38
한화갤러리아타임월드,-4.76
퍼시스,7.8
SPC삼립,11.61
이노션,9.93
현대일렉트릭,-22.11
대우조선해양,-28.01
일정실업,-12.41
게임빌,5.57
조광피혁,7.43
SK머티리얼즈,27.44
오리온,11.57
세방,4.33
삼성전자,13.71
아모레G,6.83
인스코비,-40.33
신영와코루,2.77
네오위즈홀딩스,5.13
영원무역,8.85
경인전자,0.46
동국제약,15.61
아이에스동서,17.47
부국증권,6.62
한국아트라스비엑스,18.05
아세아,5.09
오뚜기,11.28
스킨앤스킨,-33.38
현대엘리베이,6.42
한국테크놀로지그룹,6.85
한솔케미칼,18.53
대한방직,-2.81
에스원,11.73
HDC,27.45
한국테크놀로지,-75.34
솔고바이오,-26.9
이화전기,-1.73
현대모비스,7.65
삼천리,2.09
기업은행,7.19
신라교역,5.23
휴온스글로벌,60.17
대한해운,9.78
펄어비스,26.58
코스맥스비티아이,2.51
골프존,25.02
농심,6.35
디에스티,-125.72
이아이디,-9.64
S&TC,4.17
유화증권,1.64
제일파마홀딩스,74.54
SBS,1.2
삼양식품,13.87
신화실업,0.54
이오테크닉스,7.1
대한항공,-13.1
BGF리테일,25.94
만도,6.5
태웅,-1.61
이크레더블,27.01
한국주강,-15.63
네오티스,-2.92
코아스템,-4.94
파워넷,16.38
웨이브일렉트로,-68.64
정상제이엘에스,10.16
KPX생명과학,3.4
NE능률,1.17
싸이토젠,-22.73
아난티,0.79
예스24,-1.77
웹케시,14.18
모베이스전자,-6.78
삼일,4.72
칩스앤미디어,7.38
효성ITX,16.8
마이크로컨텍솔,-3.33
광전자,1.01
필옵틱스,-19.76
쌍용양회,9.18
모나미,2.26
신풍제약,-1.01
한온시스템,13.47
서전기전,4.4
팍스넷,-47.13
대유에이피,19.8
루멘스,-13.52
플레이디,4.4
오킨스전자,-12.21
우원개발,9.36
에스엠코어,-4.22
한미반도체,13.61
육일씨엔에쓰,-13.46
유티아이,8.46
원익,-2.06
유니트론텍,14.67
국제약품,-1.21
네이블,-6.32
국일신동,2.21
희림,6.65
고려산업,5.76
비즈니스온,12.08
그리티,1.97
덕성,1.04
삼진엘앤디,-1.48
서산,3.96
제이씨케미칼,8.54
포메탈,4.76
KTcs,5.86
프럼파스트,7.84
