회사명,ROE_5년_평균
파인넥스,-98.07
라닉스,-8.5
네오크레마,2.11
한프,-40.19
이수페타시스,-26.04
경창산업,-20.53
화진,-69.65
삼보모터스,2.46
한류AI센터,-660.3
인프라웨어,-37.17
데일리블록체인,-21.81
에넥스,1.08
인산가,8.84
금비,6.24
LS,5.8
시노펙스,-12.01
넥스트BT,-13.59
SG세계물산,0.14
유니켐,10.04
예스코홀딩스,1.42
삼양통상,9.35
효성중공업,-0.99
갤럭시아에스엠,-17.22
홈센타홀딩스,-18.71
멕아이씨에스,-17.27
유바이오로직스,-60.87
옴니텔,-28.01
신일산업,8.03
시너지이노베이션,-14.09
대호피앤씨,2.56
SH에너지화학,5.85
효성티앤씨,14.6
세화아이엠씨,-49.98
쎄노텍,-2.75
슈펙스비앤피,-22.74
한국제지,-0.85
루미마이크로,-23.83
코데즈컴바인,8.95
키네마스터,-16.1
위지트,7.09
CMG제약,1.04
LG하우시스,3.5
KR모터스,-65.18
ITX엠투엠,-31.81
녹십자,4.38
신대양제지,8.99
모바일리더,2.75
이베스트투자증권,9.19
아이쓰리시스템,10.19
SK바이오랜드,8.38
한미사이언스,8.04
무림P&P,4.17
에코프로비엠,9.99
예림당,4.33
네오오토,6.3
해태제과식품,1.54
유진기업,6.28
금호산업,9.26
대웅,7.91
SJM홀딩스,5.33
한국유니온제약,-2.71
싸이맥스,11.06
동방아그로,4.2
케어랩스,3.74
대림B&Co,3.17
크라운제과,12.21
삼아알미늄,1.64
일양약품,2.53
동원수산,6.87
에스티아이,19.62
파멥신,-24.51
원익홀딩스,18.98
오로라,7.32
DSR제강,5.68
삼영이엔씨,0.99
아이원스,3.96
케이피에프,5.12
가온미디어,8.52
이상네트웍스,8.23
SK네트웍스,-0.67
유라테크,5.99
모베이스,13.69
선익시스템,6.35
태경화학,4.5
힘스,12.84
조비,2.0
한국종합기술,-2.85
유비벨록스,-0.84
현대사료,2.98
삼현철강,4.23
무림SP,2.74
두산인프라코어,0.61
블루콤,5.67
세경하이테크,2.46
KMH,14.87
DSR,6.99
빛샘전자,4.75
한성기업,-5.68
톱텍,14.96
신흥,3.56
일지테크,2.81
인바디,17.12
GKL,15.21
미래테크놀로지,5.13
대원제약,11.49
오텍,9.75
평화홀딩스,-9.52
디딤,-3.62
대유에이텍,-1.34
엘컴텍,5.63
에스모,-21.79
KPX케미칼,6.8
풍산홀딩스,6.38
GS,8.67
LG이노텍,5.49
에이디칩스,-14.74
손오공,-8.66
한국가스공사,-2.97
하나금융지주,7.12
디지탈옵틱,-51.08
엔에스엔,-38.31
롯데하이마트,3.66
대유플러스,-2.89
이스타코,-2.43
신도리코,2.71
효성첨단소재,-17.65
삼보산업,-29.84
레몬,-13.7
유테크,-61.71
본느,6.35
쿠쿠홀딩스,30.7
종근당홀딩스,8.85
KB금융,8.01
두산,0.16
동원금속,-12.43
퍼스텍,-23.37
동양물산,-4.15
SGA,-22.54
국도화학,8.28
초록뱀,-7.05
영원무역홀딩스,8.41
사조산업,5.53
전진바이오팜,-292.54
클래시스,35.34
흥아해운,-86.32
라이브플렉스,-3.95
신세계푸드,3.01
조선선재,14.4
서울식품,-0.15
일신바이오,8.79
에이엔피,-10.03
국보,-32.92
비티원,-8.15
JW신약,-9.05
삼화네트웍스,2.12
인트로메딕,-52.31
NHN,3.81
키움증권,13.98
한라홀딩스,4.88
엘오티베큠,11.65
한미글로벌,10.26
삼익THK,9.1
원익IPS,19.81
대동공업,1.09
제이스텍,18.71
영화테크,0.32
웹젠,16.31
진에어,-105.05
피앤씨테크,5.86
HDC현대EP,10.72
에이텍티앤,9.07
TBH글로벌,-30.59
노바렉스,16.18
신일제약,8.54
동일제강,1.37
현대통신,20.4
일진다이아,7.74
GST,13.92
비덴트,4.61
대성미생물,10.37
테크윙,14.82
삼성출판사,4.12
한솔홀딩스,-3.61
디바이스이엔지,16.45
삼일제약,-2.49
청담러닝,-1.27
슈프리마아이디,-0.55
디아이티,4.34
와이엠티,14.51
KH바텍,-9.18
남해화학,3.95
덕산하이메탈,1.6
동일기연,6.13
레고켐바이오,-15.79
에이텍,12.72
부스타,6.59
올릭스,-30.87
MH에탄올,6.02
경농,3.54
진도,4.7
유수홀딩스,2.12
우리넷,5.46
화신,-6.55
한솔테크닉스,-1.67
디엔에프,14.02
파인디지털,0.05
상아프론테크,7.49
팜스코,4.5
클리오,2.66
아비코전자,9.49
비엠티,5.66
제일테크노스,5.14
KB오토시스,12.84
서원인텍,7.73
다스코,10.0
에코프로,4.28
