회사명,valuation,매수가,1차매도가,2차매도가
코아스,28.999999999999996,831,845,895
신한지주,-55.00000000000001,74914,76078,80170
피앤텔,-95.0,4544,6786,14666
유니드,-49.0,83545,86225,95650
SK디스커버리,-32.0,89043,93962,111255
씨아이에스,341.0,1225,1497,2450
한국금융지주,-32.0,102044,117676,172633
금호석유,49.0,85804,91305,110646
STX엔진,-19.0,8745,8863,9278
쎄트렉아이,182.0,9616,10245,12460
경동제약,49.0,7578,7723,8235
네오팜,44.0,16644,19475,29426
인크로스,341.0,9603,10692,14520
태경산업,-32.0,8265,8398,8865
동원개발,-54.0,9229,9783,11733
사람인에이치알,60.0,13634,16707,27511
제일기획,91.0,9792,10967,15100
KG이니시스,37.0,12033,14359,22539
고려개발,-28.000000000000004,12709,15203,23973
민앤지,34.0,11320,12602,17111
엠씨넥스,19.0,23251,31279,59501
신원종합개발,-65.0,10521,11926,16866
동구바이오제약,85.0,11393,13250,19777
에스텍파마,19.0,10324,11596,16069
디오,152.0,11087,12525,17583
상상인,-62.0,13863,17141,28668
KTB투자증권,-62.0,8709,8858,9382
엘앤씨바이오,961.9999999999999,3010,3273,4197
AJ네트웍스,-51.0,8066,9017,12358
삼호개발,-53.0,8362,8917,10868
한농화성,3.0,7773,7833,8044
텔레칩스,53.0,7650,7668,7730
KG모빌리언스,81.0,5813,5817,5832
동양피스톤,-36.0,8332,8539,9265
휴비츠,-6.0,7623,7787,8363
푸드나무,185.0,7647,7795,8317
동아에스티,-1.0,83121,88103,105618
시큐브,47.0,971,1111,1604
컴투스,73.0,80086,86555,109299
삼성전기,117.0,71577,74188,83365
네패스,158.0,10799,12104,16692
RFHIC,331.0,8850,9226,10549
AP시스템,204.0,7547,7607,7820
콜마비앤에이치,254.0,11879,14387,23204
유니퀘스트,37.0,8696,9361,11700
JW생명과학,65.0,9939,11591,17397
다나와,102.0,11647,14096,22704
오이솔루션,93.0,22548,29642,54581
도이치모터스,-56.00000000000001,12549,15334,25124
펌텍코리아,-5.0,13727,15292,20795
노바텍,723.0,7185,8314,12287
씨앤지하이테크,1.0,10212,11861,17658
위닉스,24.0,13085,16499,28502
유니테스트,119.0,9280,10586,15177
한스바이오메드,26.0,8560,9421,12450
세틀뱅크,125.0,13203,14157,17510
DMS,10.0,7233,7593,8856
에이치시티,48.0,8062,8729,11076
알리코제약,35.0,8522,9471,12807
와이엔텍,32.0,8615,9523,12717
포시에스,8.0,6854,7056,7766
액트로,-14.000000000000002,9985,11814,18246
유성티엔에스,-66.0,7731,8189,9799
S&K폴리텍,-56.00000000000001,9603,11118,16444
차바이오텍,117.0,8079,8751,11116
하나머티리얼즈,115.99999999999999,9762,11531,17752
동아화성,44.0,7087,7280,7961
비츠로테크,5.0,7494,7916,9397
더존비즈온,576.0,13428,14932,20220
이원컴포텍,476.0,1188,1284,1623
재영솔루텍,14.000000000000002,809,862,1046
아세아제지,-47.0,70066,73646,86231
KT&G,11.0,70280,75746,94963
KD,-63.0,3317,4271,7626
미원홀딩스,-2.0,67877,71336,83496
디티알오토모티브,-65.0,65374,69237,82817
진흥기업,125.0,909,1094,1742
롯데정밀화학,-15.0,63386,67530,82102
SBI인베스트먼트,66.0,652,703,885
파나진,392.0,797,924,1370
한빛소프트,318.0,742,847,1218
비에이치,55.00000000000001,11290,13500,21270
참좋은여행,-13.0,10017,12355,20575
일진파워,-27.0,7158,7753,9844
동진쎄미켐,218.00000000000003,8610,9873,14312
덕산네오룩스,274.0,7433,8015,10059
보령제약,184.0,6526,6964,8505
디에이치피코리아,-4.0,7545,8329,11087
메디아나,118.0,7298,7839,9742
켐트로닉스,130.0,8132,9369,13715
녹십자셀,401.99999999999994,7773,8511,11106
크린앤사이언스,180.0,8582,10153,15675
오션브릿지,89.0,7907,8997,12827
파트론,6.0,8269,9575,14168
비츠로셀,90.0,7742,8627,11738
한익스프레스,35.0,5962,5965,5975
대우건설,-34.0,6006,6074,6313
윌링스,112.99999999999999,7576,7675,8020
파크시스템스,597.0,8792,10396,16034
뉴트리,141.0,7884,9055,13171
라이온켐텍,28.999999999999996,6077,6309,7124
삼성엔지니어링,18.0,9486,11544,18778
한국컴퓨터,-46.0,5872,5889,5948
진성티이씨,19.0,7601,8643,12309
한화투자증권,-61.0,5351,5416,5643
파워로직스,-28.000000000000004,9999,12268,20245
솔브레인,-62.0,101624,113056,153249
지누스,155.0,34442,40813,63213
삼양옵틱스,5.0,6865,9098,16950
클래시스,336.0,2527,3405,6493
디알젬,311.0,3607,4161,6108
쿠쿠홀딩스,-15.0,105121,112938,140422
코웨이,126.0,24198,31404,56740
상상인,-62.0,13863,17141,28668
한국쉘석유,111.00000000000001,104408,126284,203193
HDC,-75.0,40203,43264,54027
SK머티리얼즈,210.0,69341,87841,152885
이크레더블,184.0,6700,8385,14309
코세스,187.0,2332,2857,4702
고려신용정보,86.0,2536,3260,5806
메디톡스,366.0,46028,48045,55134
펄어비스,158.0,69294,87533,151657
BGF리테일,95.0,52897,65583,110184
에이피티씨,229.99999999999997,3675,4540,7580
골프존,117.0,32007,32110,32472
코미코,154.0,15282,18061,27833
하나머티리얼즈,113.99999999999999,9762,11531,17752
케이씨,-33.0,36299,38639,46866
휴온스,102.0,26271,31223,48630
노바텍,761.0,7185,8314,12287
콜마비앤에이치,242.0,11879,14387,23204
DB하이텍,71.0,17914,20493,29559
티씨케이,231.99999999999997,26062,31457,50422
삼화콘덴서,149.0,19505,23117,35818
삼호,-5.0,26851,32270,51323
제노레이,38.0,5759,7010,11409
오션브릿지,88.0,7907,8997,12827
에코마케팅,254.99999999999997,5316,6846,12224
해마로푸드서비스,157.0,1010,1166,1717
아프리카TV,167.0,16556,21226,37644
한솔로지스틱스,10.0,1939,2107,2701
유니테스트,119.0,9280,10586,15177
LG생활건강,322.0,306483,360942,552403
현대통신,-35.0,10850,11903,15605
코웰패션,25.0,3791,4569,7306
네오팜,45.0,16644,19475,29426
바텍,9.0,19455,21504,28707
대유에이피,22.0,5418,6266,9245
F&F,56.00000000000001,44709,54741,90010
에스티아이,16.0,12344,13693,18435
더존비즈온,573.0,13428,14932,20220
한신공영,-72.0,51530,57423,78139
한양이엔지,-30.0,18741,19156,20615
에스에이엠티,-28.999999999999996,2917,3319,4730
진로발효,75.0,15242,17798,26787
대한약품,-24.0,34927,40284,59120
한국자산신탁,-41.0,6193,6835,9091
한전산업,-6.0,3552,4244,6675
피에스케이홀딩스,76.0,4296,4430,4900
에이치엘사이언스,50.0,23163,28705,48190
이녹스첨단소재,51.0,25073,29633,45668
한솔케미칼,156.0,52598,62282,96329
리노공업,315.0,25128,29213,43573
뉴트리,144.0,7884,9055,13171
크린앤사이언스,181.0,8582,10153,15675
한국토지신탁,-54.0,3909,4235,5380
NICE평가정보,279.0,4776,5590,8453
신세계건설,-55.00000000000001,50681,51645,55032
나이스정보통신,-9.0,26389,28930,37862
한국기업평가,181.0,31080,36712,56514
한국아트라스비엑스,7.000000000000001,47610,53232,72997
컴투스,81.0,80086,86555,109299
슈피겐코리아,7.000000000000001,55150,60996,81546
뷰웍스,37.0,19390,21836,30435
포스코엠텍,84.0,2398,2576,3202
SK디스커버리,-31.0,89043,93962,111255
한독크린텍,151.0,9249,10469,14759
나이스디앤비,79.0,4704,5579,8658
다나와,104.0,11647,14096,22704
디케이티,103.0,8218,9072,12072
유비쿼스,14.000000000000002,19497,21214,27249
에이디테크놀로지,360.0,4968,5548,7590
유니테크노,115.99999999999999,5587,5659,5913
씨젠,2300.0,7406,8603,12818
한일네트웍스,-22.0,6033,6330,7375
브이원텍,77.0,5450,5466,5523
누리텔레콤,18.0,6491,7112,9298
NHN한국사이버결제,669.0,7332,8682,13433
이노메트리,229.99999999999997,5552,5652,6003
흥국,-11.0,5859,6146,7154
신세계건설,-55.00000000000001,50696,51671,55101
SCI평가정보,343.0,868,1060,1738
엠벤처투자,3.0,847,1022,1639
나무기술,266.0,722,863,1360
GS건설,-41.0,54192,57628,69720
매일유업,-5.0,63230,72085,103246
계룡건설,-65.0,62181,70765,100971
미래아이앤지,-60.0,724,865,1362
메디톡스,360.0,46042,48069,55203
미원에스씨,54.0,60002,68365,97792
슈피겐코리아,5.0,55167,61027,81648
솔브레인,-63.0,101654,113115,153442
미원화학,4.0,53446,58727,77310
S&T홀딩스,-70.0,47287,47507,48280
한섬,-32.0,42717,42917,43618
덕우전자,20.0,5912,6160,7036
파세코,104.0,5942,6339,7737
인선이엔티,125.0,4446,4458,4500
배럴,14.000000000000002,6993,7884,11020
씨큐브,16.0,5789,6130,7329
KCI,18.0,7359,8550,12740
성우테크론,-15.0,5502,5618,6026
화승인더,-21.0,7668,8944,13432
한독크린텍,150.0,9252,10475,14777
에코바이오,55.00000000000001,5890,6291,7701
코프라,-22.0,5213,5247,5368
메리츠종금증권,-45.0,6159,6845,9257
한국자산신탁,-41.0,6195,6838,9102
한국정보통신,44.0,6046,6532,8241
한국경제TV,-12.0,5962,6461,8214
에프에스티,219.0,6912,7903,11391
시공테크,-31.0,6359,7079,9612
푸드웰,-62.0,14839,20223,39169
흥구석유,22.0,5551,5864,6969
레이,209.0,11670,13947,21958
가비아,75.0,6442,7220,9956
화승엔터프라이즈,56.00000000000001,7401,8636,12982
대보마그네틱,434.0,5348,5652,6722
극동유화,-30.0,4910,4974,5201
엠에스씨,-24.0,5884,6450,8444
동양피엔에프,33.0,10586,13733,24804
지엔씨에너지,21.0,4999,5039,5178
피앤이솔루션,134.0,7126,8502,13343
어보브반도체,92.0,6194,6962,9666
오공,-6.0,4898,5048,5575
피씨디렉트,124.0,5056,5318,6241
월덱스,71.0,7579,9194,14874
옵트론텍,68.0,4501,4630,5086
에스넷,43.0,4542,4595,4779
양지사,-77.0,30760,45005,95128
주성엔지니어링,55.00000000000001,5419,5710,6735
메디앙스,-78.0,13733,18701,36182
대화제약,173.0,4919,5406,7122
한컴위드,-31.0,6823,8642,15042
대양제지,-56.99999999999999,6377,7405,11023
대현,-60.0,4549,4587,4721
KGETS,-70.0,12981,17680,34215
LS전선아시아,40.0,5043,5383,6580
바이오스마트,-12.0,7208,8679,13856
코디엠,80.0,259,266,292
종근당,242.0,47786,51011,62361
미원상사,88.0,52834,58583,78810
에이스침대,-14.000000000000002,44053,45412,50196
동양고속,-69.0,67604,84215,142666
한신공영,-73.0,51545,57452,78237
사조대림,-76.0,52562,66040,113468
금화피에스시,-38.0,44048,47167,58144
이노션,42.0,40041,41436,46348
SK머티리얼즈,200.99999999999997,69362,87888,153077
오리온,130.0,47325,52051,68681
삼성전자,86.0,38061,38462,39873
영원무역,-30.0,42891,43859,47267
동국제약,129.0,9763,11072,15677
한국아트라스비엑스,3.0,47624,53259,73089
한솔케미칼,150.0,52614,62315,96450
에스원,99.0,38041,40375,48589
HDC,-75.0,40215,43286,54095
대한해운,-22.0,3683,3901,4666
펄어비스,173.0,69315,87579,151848
골프존,117.0,32016,32126,32513
삼양식품,60.0,51753,62351,99645
BGF리테일,93.0,52914,65618,110322
이크레더블,184.0,6702,8389,14327
파워넷,42.0,3557,3718,4283
정상제이엘에스,34.0,4560,4920,6186
웹케시,525.0,10129,11719,17317
칩스앤미디어,153.0,3909,4345,5879
효성ITX,208.0,5702,6862,10945
한온시스템,185.0,4917,5492,7515
대유에이피,17.0,5420,6269,9257
플레이디,88.0,3907,4476,6480
우원개발,-10.0,5790,6683,9825
한미반도체,202.0,4369,4447,4720
원익,-74.0,12150,16554,32052
비즈니스온,308.0,3641,3913,4871
제이씨케미칼,28.999999999999996,4721,5103,6448
삼양옵틱스,4.0,6867,9103,16971
JYPEnt.,433.0,5983,7117,11105
이퓨쳐,238.0,4002,4109,4489
유니셈,24.0,5297,6124,9036
디케이티,112.99999999999999,8221,9076,12087
링네트,51.0,4262,4601,5794
백광산업,-15.0,3898,4028,4486
지니언스,47.0,3713,3806,4134
화승알앤에이,-49.0,3877,3947,4195
제노레이,41.0,5761,7014,11423
PN풍년,-24.0,4505,5013,6801
NICE평가정보,291.0,4777,5593,8463
한국토지신탁,-55.00000000000001,3911,4237,5387
매커스,35.0,3374,3455,3740
제룡전기,30.0,3697,3850,4391
인피니트헬스케어,104.0,3524,3567,3717
제로투세븐,92.0,4137,4515,5847
제이엔케이히터,122.0,3761,3769,3799
린드먼아시아,65.0,3483,3580,3918
디지털대성,68.0,4712,5498,8262
미래에셋벤처투자,36.0,3447,3526,3806
디앤씨미디어,745.0,3755,4037,5027
엠에스오토텍,66.0,5068,5317,6190
코렌텍,446.0,2471,2493,2571
대한뉴팜,63.0,6321,7873,13336
샘표식품,-10.0,43352,50109,73886
더블유게임즈,14.000000000000002,44403,51307,75603
오리엔탈정공,213.0,752,800,967
실리콘웍스,74.0,29210,29344,29813
케이씨,-33.0,36309,38658,46925
다우기술,-42.0,34836,38638,52015
코스맥스,159.0,35470,36440,39853
F&F,52.0,44722,54769,90124
대상,-19.0,30077,31716,37485
원일특강,-68.0,27164,27423,28337
인포바인,-38.0,28616,30140,35501
동양이엔피,-51.0,29969,31812,38296
교보증권,-49.0,15181,15421,16266
롯데정보통신,10.0,29746,33047,44664
서흥,67.0,27588,29119,34510
인탑스,-17.0,25511,25650,26141
대한약품,-25.0,34937,40305,59194
케어젠,166.0,23096,25275,32943
한독,15.0,26387,27614,31936
경동나비엔,123.0,22955,23591,25828
한전KPS,-7.000000000000001,28013,31308,42905
에스에프에이,12.0,29361,33109,46297
현대오토에버,225.99999999999997,26364,27949,33525
삼보판지,-55.00000000000001,22077,22156,22432
나이스정보통신,-9.0,26397,28945,37909
메리츠화재,-40.0,22711,24626,31365
신화인터텍,-21.0,3495,3631,4107
